player_of_match,method,match_number,winner_runs,toss_decision,date,venue,date1,reserve_umpire,eliminator,season,date2,toss_winner,city,match_referee,umpire1,outcome,gender,event,umpire2,winner,balls_per_over,team1,winner_wickets,tv_umpire,team2,neutralvenue,matchId
Yuvraj Singh,,1,35,field,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",,N Pandit,,2017,,Royal Challengers Bangalore,Hyderabad,J Srinath,AY Dandekar,,male,Indian Premier League,NJ Llong,Sunrisers Hyderabad,6,Sunrisers Hyderabad,,A Deshmukh,Royal Challengers Bangalore,,1082591
SPD Smith,,2,,field,2017-04-06,Maharashtra Cricket Association Stadium,,Navdeep Singh,,2017,,Rising Pune Supergiant,Pune,M Nayyar,A Nand Kishore,,male,Indian Premier League,S Ravi,Rising Pune Supergiant,6,Rising Pune Supergiant,7,VK Sharma,Mumbai Indians,,1082592
CA Lynn,,3,,field,2017-04-07,Saurashtra Cricket Association Stadium,,K Srinivasan,,2017,,Kolkata Knight Riders,Rajkot,V Narayan Kutty,Nitin Menon,,male,Indian Premier League,CK Nandan,Kolkata Knight Riders,6,Gujarat Lions,10,YC Barde,Kolkata Knight Riders,,1082593
GJ Maxwell,,4,,field,2017-04-08,Holkar Cricket Stadium,,R Pandit,,2017,,Kings XI Punjab,Indore,Chinmay Sharma,AK Chaudhary,,male,Indian Premier League,C Shamshuddin,Kings XI Punjab,6,Kings XI Punjab,6,KN Ananthapadmanabhan,Rising Pune Supergiant,,1082594
KM Jadhav,,5,15,bat,2017-04-08,M.Chinnaswamy Stadium,,Navdeep Singh,,2017,,Royal Challengers Bangalore,Bengaluru,J Srinath,S Ravi,,male,Indian Premier League,VK Sharma,Royal Challengers Bangalore,6,Royal Challengers Bangalore,,A Nand Kishore,Delhi Daredevils,,1082595
Rashid Khan,,6,,field,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",,N Pandit,,2017,,Sunrisers Hyderabad,Hyderabad,M Nayyar,A Deshmukh,,male,Indian Premier League,NJ Llong,Sunrisers Hyderabad,6,Sunrisers Hyderabad,9,AY Dandekar,Gujarat Lions,,1082596
N Rana,,7,,field,2017-04-09,Wankhede Stadium,,K Srinivasan,,2017,,Mumbai Indians,Mumbai,S Chaturvedi,Nitin Menon,,male,Indian Premier League,CK Nandan,Mumbai Indians,6,Mumbai Indians,4,YC Barde,Kolkata Knight Riders,,1082597
AR Patel,,8,,bat,2017-04-10,Holkar Cricket Stadium,,R Pandit,,2017,,Royal Challengers Bangalore,Indore,Chinmay Sharma,AK Chaudhary,,male,Indian Premier League,C Shamshuddin,Kings XI Punjab,6,Kings XI Punjab,8,KN Ananthapadmanabhan,Royal Challengers Bangalore,,1082598
SV Samson,,9,97,field,2017-04-11,Maharashtra Cricket Association Stadium,,Navdeep Singh,,2017,,Rising Pune Supergiant,Pune,J Srinath,AY Dandekar,,male,Indian Premier League,S Ravi,Delhi Daredevils,6,Rising Pune Supergiant,,A Nand Kishore,Delhi Daredevils,,1082599
JJ Bumrah,,10,,field,2017-04-12,Wankhede Stadium,,K Srinivasan,,2017,,Mumbai Indians,Mumbai,M Nayyar,Nitin Menon,,male,Indian Premier League,CK Nandan,Mumbai Indians,6,Mumbai Indians,4,YC Barde,Sunrisers Hyderabad,,1082600
SP Narine,,11,,field,2017-04-13,Eden Gardens,,N Pandit,,2017,,Kolkata Knight Riders,Kolkata,AJ Pycroft,A Deshmukh,,male,Indian Premier League,NJ Llong,Kolkata Knight Riders,6,Kolkata Knight Riders,8,AY Dandekar,Kings XI Punjab,,1082601
KA Pollard,,12,,field,2017-04-14,M Chinnaswamy Stadium,,R Pandit,,2017,,Mumbai Indians,Bangalore,Chinmay Sharma,KN Ananthapadmanabhan,,male,Indian Premier League,AK Chaudhary,Mumbai Indians,6,Royal Challengers Bangalore,4,C Shamshuddin,Mumbai Indians,,1082602
AJ Tye,,13,,field,2017-04-14,Saurashtra Cricket Association Stadium,,Navdeep Singh,,2017,,Gujarat Lions,Rajkot,J Srinath,A Nand Kishore,,male,Indian Premier League,S Ravi,Gujarat Lions,6,Gujarat Lions,7,VK Sharma,Rising Pune Supergiant,,1082603
RV Uthappa,,14,17,field,2017-04-15,Eden Gardens,,N Pandit,,2017,,Sunrisers Hyderabad,Kolkata,AJ Pycroft,AY Dandekar,,male,Indian Premier League,NJ Llong,Kolkata Knight Riders,6,Kolkata Knight Riders,,A Deshmukh,Sunrisers Hyderabad,,1082604
CJ Anderson,,15,51,bat,2017-04-15,Feroz Shah Kotla,,K Srinivasan,,2017,,Delhi Daredevils,Delhi,S Chaturvedi,YC Barde,,male,Indian Premier League,Nitin Menon,Delhi Daredevils,6,Delhi Daredevils,,CK Nandan,Kings XI Punjab,,1082605
N Rana,,16,,field,2017-04-16,Wankhede Stadium,,Navdeep Singh,,2017,,Mumbai Indians,Mumbai,M Nayyar,A Nand Kishore,,male,Indian Premier League,S Ravi,Mumbai Indians,6,Mumbai Indians,6,VK Sharma,Gujarat Lions,,1082606
BA Stokes,,17,27,field,2017-04-16,M Chinnaswamy Stadium,,R Pandit,,2017,,Royal Challengers Bangalore,Bangalore,Chinmay Sharma,KN Ananthapadmanabhan,,male,Indian Premier League,C Shamshuddin,Rising Pune Supergiant,6,Royal Challengers Bangalore,,AK Chaudhary,Rising Pune Supergiant,,1082607
NM Coulter-Nile,,18,,bat,2017-04-17,Feroz Shah Kotla,,K Srinivasan,,2017,,Delhi Daredevils,Delhi,S Chaturvedi,Nitin Menon,,male,Indian Premier League,CK Nandan,Kolkata Knight Riders,6,Delhi Daredevils,4,YC Barde,Kolkata Knight Riders,,1082608
B Kumar,,19,5,field,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",,N Pandit,,2017,,Kings XI Punjab,Hyderabad,AJ Pycroft,AY Dandekar,,male,Indian Premier League,A Deshmukh,Sunrisers Hyderabad,6,Sunrisers Hyderabad,,NJ Llong,Kings XI Punjab,,1082609
CH Gayle,,20,21,field,2017-04-18,Saurashtra Cricket Association Stadium,,Navdeep Singh,,2017,,Gujarat Lions,Rajkot,J Srinath,S Ravi,,male,Indian Premier League,VK Sharma,Royal Challengers Bangalore,6,Gujarat Lions,,A Nand Kishore,Royal Challengers Bangalore,,1082610
KS Williamson,,21,15,bat,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",,N Pandit,,2017,,Sunrisers Hyderabad,Hyderabad,M Nayyar,CB Gaffaney,,male,Indian Premier League,NJ Llong,Sunrisers Hyderabad,6,Sunrisers Hyderabad,,AY Dandekar,Delhi Daredevils,,1082611
JC Buttler,,22,,field,2017-04-20,Holkar Cricket Stadium,,R Pandit,,2017,,Mumbai Indians,Indore,AJ Pycroft,M Erasmus,,male,Indian Premier League,C Shamshuddin,Mumbai Indians,6,Kings XI Punjab,8,AK Chaudhary,Mumbai Indians,,1082612
SK Raina,,23,,field,2017-04-21,Eden Gardens,,K Srinivasan,,2017,,Gujarat Lions,Kolkata,V Narayan Kutty,CB Gaffaney,,male,Indian Premier League,Nitin Menon,Gujarat Lions,6,Kolkata Knight Riders,4,CK Nandan,Gujarat Lions,,1082613
MJ McClenaghan,,25,14,field,2017-04-22,Wankhede Stadium,,Navdeep Singh,,2017,,Delhi Daredevils,Mumbai,J Srinath,A Nand Kishore,,male,Indian Premier League,S Ravi,Mumbai Indians,6,Mumbai Indians,,KN Ananthapadmanabhan,Delhi Daredevils,,1082614
MS Dhoni,,24,,field,2017-04-22,Maharashtra Cricket Association Stadium,,N Pandit,,2017,,Rising Pune Supergiant,Pune,M Nayyar,AY Dandekar,,male,Indian Premier League,A Deshmukh,Rising Pune Supergiant,6,Rising Pune Supergiant,6,NJ Llong,Sunrisers Hyderabad,,1082615
HM Amla,,26,26,field,2017-04-23,Saurashtra Cricket Association Stadium,,R Pandit,,2017,,Gujarat Lions,Rajkot,Chinmay Sharma,AK Chaudhary,,male,Indian Premier League,M Erasmus,Kings XI Punjab,6,Gujarat Lions,,C Shamshuddin,Kings XI Punjab,,1082616
NM Coulter-Nile,,27,82,field,2017-04-23,Eden Gardens,,K Srinivasan,,2017,,Royal Challengers Bangalore,Kolkata,V Narayan Kutty,CB Gaffaney,,male,Indian Premier League,CK Nandan,Kolkata Knight Riders,6,Kolkata Knight Riders,,Nitin Menon,Royal Challengers Bangalore,,1082617
BA Stokes,,28,3,field,2017-04-24,Wankhede Stadium,,Navdeep Singh,,2017,,Mumbai Indians,Mumbai,J Srinath,A Nand Kishore,,male,Indian Premier League,S Ravi,Rising Pune Supergiant,6,Mumbai Indians,,KN Ananthapadmanabhan,Rising Pune Supergiant,,1082618
RV Uthappa,,30,,field,2017-04-26,Maharashtra Cricket Association Stadium,,N Pandit,,2017,,Kolkata Knight Riders,Pune,AJ Pycroft,AY Dandekar,,male,Indian Premier League,NJ Llong,Kolkata Knight Riders,6,Rising Pune Supergiant,7,CB Gaffaney,Kolkata Knight Riders,,1082620
