outcome,event,date,gender,reserve_umpire,team1,toss_winner,umpire2,match_referee,season,team2,winner_runs,balls_per_over,player_of_match,date1,neutralvenue,venue,method,toss_decision,city,tv_umpire,date2,winner,umpire1,match_number,eliminator,winner_wickets,matchId
,Indian Premier League,2017-04-05,male,N Pandit,Sunrisers Hyderabad,Royal Challengers Bangalore,NJ Llong,J Srinath,2017,Royal Challengers Bangalore,35,6,Yuvraj Singh,,,"Rajiv Gandhi International Stadium, Uppal",,field,Hyderabad,A Deshmukh,,Sunrisers Hyderabad,AY Dandekar,1,,,1082591
,Indian Premier League,2017-04-06,male,Navdeep Singh,Rising Pune Supergiant,Rising Pune Supergiant,S Ravi,M Nayyar,2017,Mumbai Indians,,6,SPD Smith,,,Maharashtra Cricket Association Stadium,,field,Pune,VK Sharma,,Rising Pune Supergiant,A Nand Kishore,2,,7,1082592
,Indian Premier League,2017-04-07,male,K Srinivasan,Gujarat Lions,Kolkata Knight Riders,CK Nandan,V Narayan Kutty,2017,Kolkata Knight Riders,,6,CA Lynn,,,Saurashtra Cricket Association Stadium,,field,Rajkot,YC Barde,,Kolkata Knight Riders,Nitin Menon,3,,10,1082593
,Indian Premier League,2017-04-08,male,R Pandit,Kings XI Punjab,Kings XI Punjab,C Shamshuddin,Chinmay Sharma,2017,Rising Pune Supergiant,,6,GJ Maxwell,,,Holkar Cricket Stadium,,field,Indore,KN Ananthapadmanabhan,,Kings XI Punjab,AK Chaudhary,4,,6,1082594
,Indian Premier League,2017-04-08,male,Navdeep Singh,Royal Challengers Bangalore,Royal Challengers Bangalore,VK Sharma,J Srinath,2017,Delhi Daredevils,15,6,KM Jadhav,,,M.Chinnaswamy Stadium,,bat,Bengaluru,A Nand Kishore,,Royal Challengers Bangalore,S Ravi,5,,,1082595
,Indian Premier League,2017-04-09,male,N Pandit,Sunrisers Hyderabad,Sunrisers Hyderabad,NJ Llong,M Nayyar,2017,Gujarat Lions,,6,Rashid Khan,,,"Rajiv Gandhi International Stadium, Uppal",,field,Hyderabad,AY Dandekar,,Sunrisers Hyderabad,A Deshmukh,6,,9,1082596
,Indian Premier League,2017-04-09,male,K Srinivasan,Mumbai Indians,Mumbai Indians,CK Nandan,S Chaturvedi,2017,Kolkata Knight Riders,,6,N Rana,,,Wankhede Stadium,,field,Mumbai,YC Barde,,Mumbai Indians,Nitin Menon,7,,4,1082597
,Indian Premier League,2017-04-10,male,R Pandit,Kings XI Punjab,Royal Challengers Bangalore,C Shamshuddin,Chinmay Sharma,2017,Royal Challengers Bangalore,,6,AR Patel,,,Holkar Cricket Stadium,,bat,Indore,KN Ananthapadmanabhan,,Kings XI Punjab,AK Chaudhary,8,,8,1082598
,Indian Premier League,2017-04-11,male,Navdeep Singh,Rising Pune Supergiant,Rising Pune Supergiant,S Ravi,J Srinath,2017,Delhi Daredevils,97,6,SV Samson,,,Maharashtra Cricket Association Stadium,,field,Pune,A Nand Kishore,,Delhi Daredevils,AY Dandekar,9,,,1082599
,Indian Premier League,2017-04-12,male,K Srinivasan,Mumbai Indians,Mumbai Indians,CK Nandan,M Nayyar,2017,Sunrisers Hyderabad,,6,JJ Bumrah,,,Wankhede Stadium,,field,Mumbai,YC Barde,,Mumbai Indians,Nitin Menon,10,,4,1082600
,Indian Premier League,2017-04-13,male,N Pandit,Kolkata Knight Riders,Kolkata Knight Riders,NJ Llong,AJ Pycroft,2017,Kings XI Punjab,,6,SP Narine,,,Eden Gardens,,field,Kolkata,AY Dandekar,,Kolkata Knight Riders,A Deshmukh,11,,8,1082601
,Indian Premier League,2017-04-14,male,R Pandit,Royal Challengers Bangalore,Mumbai Indians,AK Chaudhary,Chinmay Sharma,2017,Mumbai Indians,,6,KA Pollard,,,M Chinnaswamy Stadium,,field,Bangalore,C Shamshuddin,,Mumbai Indians,KN Ananthapadmanabhan,12,,4,1082602
