Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
V Kohli (INDIA),2010-2021,90,84,24,3159,94*,52.65,2272,139.04,0,28,3,285,90,
MJ Guptill (NZ),2009-2021,102,98,7,2939,105,32.29,2148,136.82,2,17,3,256,147,
RG Sharma (INDIA),2007-2021,111,103,15,2864,118,32.54,2061,138.96,4,22,6,252,133,
AJ Finch (AUS),2011-2021,76,76,10,2473,172,37.46,1646,150.24,2,15,5,248,107,
Mohammad Hafeez (PAK),2006-2021,111,102,11,2423,99*,26.62,2002,121.02,0,14,7,241,74,
EJG Morgan (ENG),2009-2021,107,101,19,2360,91,28.78,1707,138.25,0,14,3,179,116,
Shoaib Malik (ICC/PAK),2006-2020,116,106,31,2335,75,31.13,1880,124.20,0,8,1,192,61,
DA Warner (AUS),2009-2020,81,81,9,2265,100*,31.45,1621,139.72,1,18,6,218,89,
PR Stirling (IRE),2009-2021,81,80,6,2167,95,29.28,1564,138.55,0,18,9,254,74,
Babar Azam (PAK),2016-2021,59,55,9,2153,122,46.80,1647,130.72,1,19,2,227,31,
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,
Mohammad Shahzad (AFG),2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71,
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,
JC Buttler (ENG),2011-2021,82,74,15,1871,83*,31.71,1338,139.83,0,14,4,162,77,
CH Gayle (WI),2006-2021,72,67,5,1825,117,29.43,1304,139.95,2,14,4,153,120,
KS Williamson (NZ),2011-2021,67,65,8,1805,95,31.66,1443,125.08,0,13,3,182,41,
GJ Maxwell (AUS),2012-2021,72,65,9,1780,145*,31.78,1120,158.92,3,9,1,147,93,
S Dhawan (INDIA),2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,
Tamim Iqbal (BDESH/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45,
C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107,
