player_id,player,img_url,born,birth_place,height,role,bat_style,bowl_style
25,Sachin Tendulkar,/a/img/v1/152x152/i1/c171004/sachin-tendulkar.jpg," Apr 24, 1973 (48 years) "," Bombay (now Mumbai), Maharashtra ", 5 ft 5 in , Batsman , Right Handed Bat , Right-arm legbreak 
26,Virender Sehwag,/a/img/v1/152x152/i1/c171002/virender-sehwag.jpg," Oct 20, 1978 (42 years) ", Delhi , 5 ft 8 in (173 cm) , Batsman , Right Handed Bat , Right-arm offbreak 
27,Rahul Dravid,/a/img/v1/152x152/i1/c156286/rahul-dravid.jpg," Jan 11, 1973 (48 years) "," Indore, Madhya Pradesh ", -- , Batsman , Right Handed Bat , Right-arm offbreak 
28,VVS Laxman,/a/img/v1/152x152/i1/c156770/vvs-laxman.jpg," Nov 01, 1974 (46 years) "," Hyderabad, Andhra Pradesh ", -- , -- , Right Handed Bat , Right-arm offbreak 
29,Sourav Ganguly,/a/img/v1/152x152/i1/c171006/sourav-ganguly.jpg," Jul 08, 1972 (49 years) "," Calcutta (now Kolkata), Bengal ", 5 ft 11 in , Batsman , Left Handed Bat , Right-arm medium 
30,Shoaib Akhtar,/a/img/v1/152x152/i1/c156004/shoaib-akhtar.jpg," Aug 13, 1975 (46 years) "," Rawalpindi, Punjab ", 6 ft 0 in , Bowler , Right Handed Bat , Right-arm fast 
31,Mohammad Sami,/a/img/v1/152x152/i1/c155822/mohammad-sami.jpg," Feb 24, 1981 (40 years) "," Karachi, Sind ", -- , Bowler , Right Handed Bat , Right-arm fast 
32,Shabbir Ahmed,/a/img/v1/152x152/i1/c155832/shabbir-ahmed.jpg," Apr 21, 1976 (45 years) "," Khanewal, Punjab ", -- , Captain , Right Handed Bat , Right-arm fast-medium 
33,Shoaib Malik,/a/img/v1/152x152/i1/c170775/shoaib-malik.jpg," Feb 01, 1982 (39 years) "," Sialkot, Punjab ", -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak 
34,Mohammad Yousuf,/a/img/v1/152x152/i1/c155553/mohammad-yousuf.jpg," Aug 27, 1974 (47 years) "," Lahore, Punjab ", -- , -- , Right Handed Bat , Right-arm offbreak 
35,Inzamam-ul-Haq,/a/img/v1/152x152/i1/c156779/inzamam-ul-haq.jpg," Mar 03, 1970 (51 years) "," Multan, Punjab ", -- , Batsman , Right Handed Bat , Left-arm orthodox 
36,Adam Gilchrist,/a/img/v1/152x152/i1/c156206/adam-gilchrist.jpg," Nov 14, 1971 (49 years) "," Bellingen, New South Wales ", 1.86 m , WK-Batsman , Left Handed Bat , Right-arm offbreak 
38,Ricky Ponting,/a/img/v1/152x152/i1/c154735/ricky-ponting.jpg," Dec 19, 1974 (46 years) "," Launceston, Tasmania ", 1.78 m , Batsman , Right Handed Bat , Right-arm medium 
39,Andrew Symonds,/a/img/v1/152x152/i1/c154738/andrew-symonds.jpg," Jun 09, 1975 (46 years) "," Birmingham, Warwickshire, England ", 1.87 m , Batting Allrounder , Right Handed Bat , Right-arm medium 
40,Jason Gillespie,/a/img/v1/152x152/i1/c152431/jason-gillespie.jpg," Apr 19, 1975 (46 years) "," Darlinghurst, Sydney, New South Wales ", 1.95 m , Bowler , Right Handed Bat , Right-arm fast 
41,Glenn McGrath,/a/img/v1/152x152/i1/c156203/glenn-mcgrath.jpg," Feb 09, 1970 (51 years) "," Dubbo, New South Wales ", 1.95 m , Bowler , Right Handed Bat , Right-arm fast-medium 
42,Brett Lee,/a/img/v1/152x152/i1/c151600/brett-lee.jpg," Nov 08, 1976 (44 years) "," Wollongong, New South Wales ", 1.87 m , Bowler , Right Handed Bat , Right-arm fast 
44,Marcus Trescothick,/a/img/v1/152x152/i1/c156638/marcus-trescothick.jpg," Dec 25, 1975 (45 years) "," Keynsham, Somerset ", 6 ft 3 in , Batsman , Left Handed Bat , Right-arm medium 
