Player,Team,Role,Sel,Credits
M Rizwan,,WK,,
D Kartik,,WK,,
R Pant,,WK,,
B Azam,,BAT,,
R Sharma,,BAT,,
V Kohli,,BAT,,
S Yadav,,BAT,,
L Rahul,,BAT,,
F Zaman,,BAT,,
A Ali,,BAT,,
K Shah,,BAT,,
H Ali,,BAT,,
H Pandya,,AR,,
S Khan,,AR,,
R Jadeja,,AR,,
M Nawaz,,AR,,
D Hooda,,AR,,
Iftikar-Ahmed,,AR,,
Y Chahal,,BOWL,,
R Ashwin,,BOWL,,
B Kumar,,BOWL,,
A Singh,,BOWL,,
N Shah,,BOWL,,
H Rauf,,BOWL,,
M Wasim,,BOWL,,
H Ali,,BOWL,,
A Khan,,BOWL,,
R Bishnoi,,BOWL,,
U Qadir,,BOWL,,
M Hasnain,,BOWL,,
S Dahani,,BOWL,,
