Player,Team,Role,Sel,Credits
R Gurbaz,AFG,WK,80.87,9
D Chandimal,SL,WK,15.8,8.5
K Mendis,SL,WK,47.42,8.5
A Zazai,AFG,WK,2.33,8
Najibullah-Zadran,AFG,BAT,80.89,9
H Zazai,AFG,BAT,37.54,9
B Rajapaksa,SL,BAT,75.15,9
C Asalanka,SL,BAT,73.99,9
P Nissanka,SL,BAT,56.46,9
H Shahidi,AFG,BAT,4.75,8.5
U Ghani,AFG,BAT,17.99,8.5
D Gunathilaka,SL,BAT,7.74,8.5
S Shinwari,AFG,BAT,1.03,8
I Zadran,AFG,BAT,6.1,8
A Bandara,SL,BAT,0.68,8
N Fernando,SL,BAT,0.45,8
W Hasaranga,SL,AR,93.37,9.5
M Nabi,AFG,AR,72.67,9
D Shanaka,SL,AR,45.76,9
K Janat,AFG,AR,6.08,8.5
A Omarzai,AFG,AR,3.42,8.5
D de Silva,SL,AR,19.73,8.5
C Karunaratne,SL,AR,7.25,8.5
S Ashraf,AFG,AR,0.76,8
Rashid-Khan,AFG,BOWL,89.61,9.5
Mujeeb-ur-Rahman,AFG,BOWL,60.93,9
F Malik,AFG,BOWL,15,8.5
Naveen-ul-Haq,AFG,BOWL,48.56,8.5
F Farooqi,AFG,BOWL,9.07,8.5
J Vandersay,SL,BOWL,21.17,8.5
M Theekshana,SL,BOWL,70.77,8.5
Q Ahmad,AFG,BOWL,1.73,8
N Masood,AFG,BOWL,0.66,8
N Ahmad,AFG,BOWL,1.59,8
A Fernando,SL,BOWL,12.33,8
P Jayawickrama,SL,BOWL,3.34,8
P Madushan,SL,BOWL,0.49,8
N Thushara,SL,BOWL,4.36,8
D Madushanka,SL,BOWL,0.66,8
M Pathirana,SL,BOWL,1.71,8
