Player,PlayerId,Team,TeamId,Role,Sel,Credits
Litton Das,,BAN,,WK,,8.5
Devon Conway,,NZ,,WK,,8.5
Kusal Mendis,,SL,,WK,,9
Finn Allen,,NZ,,WK,,8
Jos Buttler,,ENG,,WK,,10.5
Matthew Wade,,AUS,,WK,,8.5
Nurul Hasan,,BAN,,WK,,7.5
Mohammad Rizwan,,PAK,,WK,,10.5
Scott Edwards,,NED,,WK,,7.5
Lorcan Tucker,,IRE,,WK,,7.5
Dinesh Karthik,,IND,,WK,,8
Rahmanullah Gurbaz,,AFG,,WK,,9
Quinton de Kock,,SA,,WK,,9.5
Rishabh Pant,,IND,,WK,,8.5
Regis Chakbva,,ZIM,,WK,,8
Philip Salt,,ENG,,WK,,8
Dinesh Chandimal,,SL,,WK,,7.5
Heinrich Klassen,,SA,,WK,,7.5
Tadiwanashe Marumani,,ZIM,,WK,,6
Mohammad Haris,,PAK,,WK,,6
Clive Madande,,ZIM,,WK,,5.5
Stephen Doheny,,IRE,,WK,,5.5
Afsar Zazai,,AFG,,WK,,5.5
Josh Inglis,,AUS,,WK,,5
Pathum Nissanka,,SL,,BAT,,8.5
Suryakumar Yadav,,IND,,BAT,,10.5
Aiden Markram,,SA,,BAT,,9
Virat Kohli,,IND,,BAT,,10.5
Charith Asalanka,,SL,,BAT,,8
Shan Masood,,PAK,,BAT,,8
Aaron Finch,,AUS,,BAT,,9
Harry Tector,,IRE,,BAT,,8.5
Liam Livingstone,,ENG,,BAT,,9
Ibrahim Zadran,,AFG,,BAT,,8
Usman Ghani,,AFG,,BAT,,7
Mosaddek Hossain,,BAN,,BAT,,8
Najmul Hossain Shanto,,BAN,,BAT,,7
Kane Williamson,,NZ,,BAT,,9.5
Alex Hales,,ENG,,BAT,,8.5
David Warner,,AUS,,BAT,,10.5
Dawid Malan,,ENG,,BAT,,9
Bhanuka Rajapaksa,,SL,,BAT,,7.5
Glenn Philips,,NZ,,BAT,,8.5
Tim David,,AUS,,BAT,,7.5
Najibullah Zadran,,AFG,,BAT,,8.5
Babar Azam,,PAK,,BAT,,10.5
Harry Brook,,ENG,,BAT,,8
Yasir Ali,,BAN,,BAT,,6.5
Max O'Dowd,,NED,,BAT,,8
Andy Balbirnie,,IRE,,BAT,,8.5
Tom Cooper,,NED,,BAT,,8
Rohit Sharma,,IND,,BAT,,10
KL Rahul,,IND,,BAT,,9.5
Hazratullah Zazai,,AFG,,BAT,,8.5
Asif Ali,,PAK,,BAT,,8
Haider Ali,,PAK,,BAT,,7
Mark Chapman,,NZ,,BAT,,7
Ashen Bandara,,SL,,BAT,,5
Vikramjit Singh,,NED,,BAT,,5.5
David Miller,,SA,,BAT,,9.5
Martin Guptill,,NZ,,BAT,,9
Craig Ervine,,IRE,,BAT,,8.5
Fakhar Zaman,,PAK,,BAT,,8.5
Rilee Rossou,,SA,,BAT,,8.5
Rahmat Shah,,AFG,,BAT,,8
Danushka Gunathilaka,,SL,,BAT,,8
Stephen Myburgh,,NED,,BAT,,8
Reeza Hendricks,,SA,,BAT,,8
Steven Smith,,AUS,,BAT,,8
Milton Shumba,,ZIM,,BAT,,7.5
Khushdil Shah,,PAK,,BAT,,7.5
Sabbir Rahman,,BAN,,BAT,,7.5
Tristan Stubbs,,SA,,BAT,,7.5
Temba Bavuma,,SA,,BAT,,7
Kevin Kasuza,,ZIM,,BAT,,6.5
Nuwanindu Fernando,,SL,,BAT,,6.5
