Ball_No,Batsman_Name,Batting_Style,Bowling_Type,Bowling_Side_of_Stumps,Ball_Pitching,Ball_Line,Ball_Length,Ball_Turn_Angle,Ball_Middled,Ball_Missed,Ball_Edged,Ball_Left,Shot_Aggressive,Shot_Attacking,Shot_Defensive,Shot_Type,Shot_Timing,Batsman_Head_Position,Batsman_Footwork
1,Orange1,RHB,Pace,Round,Outside Leg Stump,Leg Stump,Good,NA,1,0,0,0,1,0,0,BackFoot Pull,1,1,1
2,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
3,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,0,1,0,0,0,1,0,0,FrontFoot On Drive,1,1,1
4,Orange1,RHB,Spin,Over,Middle-Leg Stump,Outside Off Stump,Full,17,0,1,0,0,0,0,0,None,0,0,0
5,Orange1,RHB,Spin,Over,Outside Off Stump,Leg Stump,Full,20,1,0,0,0,1,0,0,BackFoot On Drive,1,1,1
6,Orange1,RHB,Pace,Round,Outside Off Stump,Middle Stump,Good,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
7,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
8,Orange1,RHB,Pace,Round,Outside Leg Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Backfoot Off Drive,1,1,1
9,Orange1,RHB,Pace,Over,Off Stump,Outside Leg Stump,Good,NA,0,1,0,0,0,0,0,None,0,1,0
10,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
11,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,20,0,1,0,0,0,0,0,None,0,0,0
12,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,19,0,1,0,0,0,0,0,None,0,0,0
13,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Good,NA,0,0,0,1,0,0,1,None,1,1,1
14,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
15,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Cut,1,1,1
16,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
17,Red,LHB,Spin,Round,Leg Stump,Middle Stump,Full,6,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
18,Red,LHB,Spin,Over,Middle Stump,Leg Stump,Full,8,0,0,1,0,0,0,0,None,0,0,0
