,batsman,innings,runs,balls,dismissals,dots,ones,twos,threes,fours,sixes,SR,RPI,BPD,BPB,AVG,SRPER,DOTPER,calc_SR,calc_RPI,calc_BPD,calc_dot_percentage,dev_best_SR,dev_best_RPI,dev_best_BPD,dev_best_dot_percentage,dev_best_sqrt,dev_worst_SR,dev_worst_RPI,dev_worst_BPD,dev_worst_dot_percentage,dev_worst_sqrt,score
1,A Mishra,2,14,20,1,10,8,1,0,1,0,70.0,7.0,20.0,20.0,14.0,45.0,50.0,0.8106017382876205,0.11136410830467498,0.2879654822066067,3.5995839445019318,24.133416631164742,4.296234760368939,11.861598652123154,11.179751442484072,51.471001486140906,0.657075178114912,0.01240196461849538,0.08199384637533151,116.61304116164477,117.36451215075351,0.6951411443161369
5,AB de Villiers,4,101,69,1,18,29,8,2,11,1,146.3768115942029,25.25,69.0,5.75,101.0,56.52173913043478,26.08695652173913,3.544508456151819,1.4490118224693744,3.4275091519641365,0.9798489376337961,4.746605905796173,0.5403548711981871,0.09273456048912293,0.5240001172225555,5.903695454706038,12.56354019573175,2.099635261656018,11.736717811904596,180.05578908528832,206.4556823545807,0.9721995067248316
7,AD Mathews,2,52,43,0,13,22,3,0,3,2,120.93023255813952,26.0,43.0,8.6,52.0,58.13953488372093,30.232558139534884,2.41925265761937,1.5363701472236795,1.3311204415000395,1.316018792040728,10.915930135974351,0.41955417581727916,5.764379430031651,1.1237025641445475,18.22356630596783,5.852783421398383,2.3604332292801105,1.7675719402273302,171.14701772132068,181.1278063122265,0.9085856993778
8,AD Russell,4,74,60,1,24,24,3,0,5,4,123.33333333333334,18.5,60.0,6.666666666666667,74.0,45.0,40.0,2.5163577771332255,0.7778442054545921,2.5916893398594607,2.3037337244812366,10.283703190247477,1.9775558235154829,1.30038286360845,4.1933345764442,17.75497645381561,6.332056462538868,0.6050416079592856,6.708460191069191,146.2793988331672,159.92495709473454,0.9000732603889445
10,AL Menaria,2,23,32,1,15,13,3,0,1,0,71.875,11.5,32.0,32.0,23.0,50.0,46.875,0.8546084174787771,0.30056945557741366,0.7371916344489132,3.163696826222401,23.702980784406197,3.5476879330144966,8.969072704819022,8.454872889317123,44.67461431155684,0.7303555472255798,0.09034199762610284,0.5410659150468675,126.2171123769721,127.57887583687065,0.7406461008536803
13,AR Patel,2,18,19,2,9,8,0,0,1,1,94.73684210526315,9.0,9.5,9.5,9.0,42.10526315789474,47.36842105263158,1.4847360687726212,0.18409168923834027,0.06497221192286565,3.230651518057136,17.964399584647932,4.00003390277502,13.447332252092563,8.848727671838544,44.26049341135406,2.204441193914378,0.033889750046625644,0.004013527356816203,124.71717172994816,126.95951620126598,0.7414992937362166
14,AT Rayudu,4,28,40,2,13,26,1,0,0,0,70.0,7.0,20.0,40.0,14.0,67.5,32.5,0.8106017382876205,0.11136410830467498,0.2879654822066067,1.520824216552066,24.133416631164742,4.296234760368939,11.861598652123154,1.5998551422573124,41.89110518591415,0.657075178114912,0.01240196461849538,0.08199384637533151,165.83030401542422,166.58177500453294,0.7990572915400546
24,CA Ingram,2,0,3,2,3,0,0,0,0,0,0.0,0.0,1.5,3.0,0.0,0.0,100.0,0.0,0.0,0.0016198058374121626,14.398335778007727,32.75477935593289,4.770293530377956,13.915979983398982,200.0064980938585,251.44755096356835,0.0,0.0,0.0,0.0,0.0,0.0
28,CL White,2,41,41,1,16,19,1,0,5,0,100.0,20.5,41.0,8.2,41.0,48.78048780487805,39.02439024390244,1.6542892618114704,0.9551176839804013,1.2101749389732648,2.1927269239559655,16.555864760773424,1.510397938442038,6.359766311626789,3.7510257795104733,28.177054790352727,2.73667296174474,0.9122497902520857,1.4606055098290185,148.97688749810672,154.08641575993255,0.8454048158674843
30,DA Miller,3,47,36,2,10,17,4,0,4,1,130.55555555555557,15.666666666666666,18.0,7.2,23.5,58.333333333333336,27.77777777777778,2.819695200109212,0.5578306468141202,0.23325204058735147,1.1109826989203493,8.430218932080376,2.644752545501258,12.241465748586778,0.7310460076532858,24.047483233821698,7.95068102151893,0.31117503052505974,0.053653492175250984,176.55375184833284,184.8692613925521,0.8848944191772269
31,DA Warner,4,93,82,3,21,43,14,0,1,3,113.41463414634146,23.25,27.333333333333332,20.5,31.0,69.51219512195122,25.609756097560975,2.127892300030845,1.2285563427642014,0.537855528432562,0.9443286850240048,12.926087390921452,0.9130639960489059,10.202767480096648,0.4738371095194802,24.515755976586487,4.527925640530561,1.50935068734615,0.2875487501871425,181.0103068580563,187.33513193612018,0.8842782476951986
33,DJ Bravo,2,26,20,2,7,9,0,1,2,1,130.0,13.0,10.0,6.666666666666667,13.0,50.0,35.0,2.795748852461385,0.38409253680591987,0.07199137055165168,1.7637961328059466,8.569848030803938,3.2400274612477666,13.395902162856457,2.273538398801565,27.479316053709727,7.816211646039152,0.1475270768300069,0.0049521571203304,159.6315920461755,167.600282926165,0.8591379303760788
35,DJ Hussey,3,23,15,2,5,5,2,0,2,1,153.33333333333334,7.666666666666667,7.5,5.0,11.5,46.666666666666664,33.333333333333336,3.889417864436746,0.13358642470107274,0.040495145935304074,1.5998150864453033,3.3626803796778173,4.204606598802566,13.627449139468812,1.8059185041131764,23.00065462206237,15.127571324199698,0.017845332864415375,0.0015112920677267626,163.8021318923515,178.94905984148335,0.8861070208335736
38,DPMD Jayawardene,3,35,34,3,13,15,4,0,0,2,102.94117647058823,11.666666666666666,11.333333333333334,17.0,11.666666666666666,55.88235294117647,38.23529411764706,1.753031440933435,0.3093447452907638,0.09246891595301039,2.1049470125288114,15.762072674294561,3.5147078834072065,13.24642416980529,3.418714462531209,35.94191919003826,3.073119232901156,0.09569417143900752,0.008253560808796091,151.12740733920322,154.30447430435217,0.8110770010938576
42,EJG Morgan,2,22,14,0,4,6,1,0,2,1,157.14285714285714,11.0,14.0,4.666666666666667,22.0,50.0,28.571428571428573,4.0850816465140385,0.2750011654054219,0.1411030862812373,1.1753743492251207,2.683363365936939,3.6446589899251736,12.89477512726324,0.8453035964177396,20.06810107954309,16.687892058685847,0.07562564097434021,0.01945558552337077,174.84670894707253,191.62968223225607,0.9052040093873549
44,G Gambhir,3,80,72,1,23,33,9,1,5,1,111.11111111111111,26.666666666666668,72.0,12.0,80.0,59.72222222222222,31.944444444444443,2.0423324219894696,1.6161684651925625,3.7320326493976235,1.4692746193221617,13.548632489071643,0.32254641554863556,0.0,1.472107095061936,15.343285999682216,4.1711217219093735,2.612000507882883,13.915979983398982,167.16062244503172,187.85972465822294,0.9244928214891814
47,HH Pandya,2,8,12,0,7,4,0,0,1,0,66.66666666666666,4.0,12.0,12.0,8.0,33.333333333333336,58.333333333333336,0.7352396719162089,0.03636379046683265,0.1036675735943784,4.899433702238741,24.879540039134923,4.612771534124048,13.165033123308689,21.56175131078812,64.21909600735579,0.5405773751594545,0.001322325257115709,0.010413746904179719,90.22914064504833,90.78145409236909,0.5856847219829978
48,Harbhajan Singh,3,10,19,0,12,6,0,0,1,0,52.63157894736842,3.3333333333333335,19.0,19.0,10.0,31.57894736842105,63.1578947368421,0.4582518730779695,0.02525263226863379,0.2598888476914626,5.743380476546018,27.719459022396514,4.660622669209572,12.055782579726513,30.111669196383307,74.54753346771591,0.20999477917946746,0.0006376954364948445,0.06670289798020924,74.90825127030013,75.1855866428963,0.502130634741028
49,IK Pathan,5,42,49,1,24,20,1,0,2,2,85.71428571428571,8.4,49.0,12.25,42.0,42.857142857142854,48.97959183673469,1.2153961923512842,0.16036431595873202,1.7285128069451567,3.4541613528248436,20.32010701442609,4.09550678634725,4.014091759100757,10.228425282260734,38.65813084213483,1.4771879043819998,0.025716713832912033,2.9821594372749125,119.77495384882708,124.26001790431691,0.7627143989814285
55,JH Kallis,5,124,116,5,37,62,4,0,12,1,106.89655172413792,24.8,23.2,8.923076923076923,24.8,56.89655172413793,31.896551724137932,1.890335292034272,1.3978241055450473,0.38748635285721,1.4648723008392228,14.690691887481078,0.6182300415369828,11.185989929702195,1.4614437724114409,27.9563556311317,3.5733675163102965,1.9539122300428116,0.14889299210898185,167.2744775152516,172.9506502537137,0.8608492744789819
56,JP Duminy,2,6,6,1,1,4,1,0,0,0,100.0,3.0,6.0,6.0,6.0,83.33333333333333,16.666666666666668,1.6542892618114704,0.020454632137593368,0.0259168933985946,0.39995377161132584,16.555864760773424,4.6813619915038895,13.735293996864252,0.02073120731762575,34.99325195645919,2.73667296174474,0.00041839197588426744,0.0005903484639557664,195.95469879700252,198.6923804991871,0.8502550131613208
60,KA Pollard,3,37,35,1,19,9,2,0,3,2,105.71428571428572,12.333333333333334,35.0,7.0,37.0,31.428571428571427,54.285714285714285,1.8487526525876763,0.3457085357575965,0.8818942892577332,4.243101400702685,15.011180530136443,3.379683782152835,8.123288671940902,15.897213506470393,42.41136649070057,3.417886370449969,0.1195143916956614,0.774883166160913,103.12878525799813,107.44106918630467,0.7169791315096484
61,KC Sangakkara,3,22,22,3,12,6,1,0,2,1,100.0,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,31.818181818181817,54.54545454545455,1.6542892618114704,0.1222227401801875,0.03871535927444379,4.283802380233705,16.555864760773424,4.251338514627499,13.640592605522828,16.223430349573473,50.671226230497226,2.73667296174474,0.01493839821715362,0.001376080084799669,102.3037858546861,105.05677329473279,0.6746171119838484
