team,batter1,batter2,batter1_runs,batter1_balls,batter2_runs,batter2_balls,extras,total_runs,total_balls
Kolkata Knight Riders,SC Ganguly,BB McCullum,10,12,41,20,10,61,32
Kolkata Knight Riders,RT Ponting,BB McCullum,20,20,27,21,4,51,41
Kolkata Knight Riders,BB McCullum,DJ Hussey,45,18,12,12,3,60,30
Kolkata Knight Riders,BB McCullum,Mohammad Hafeez,45,14,5,3,0,50,17
Royal Challengers Bangalore,R Dravid,W Jaffer,2,3,1,4,1,4,7
Royal Challengers Bangalore,W Jaffer,V Kohli,0,2,1,5,4,5,7
Royal Challengers Bangalore,JH Kallis,W Jaffer,8,7,5,8,2,15,15
Royal Challengers Bangalore,W Jaffer,CL White,0,2,0,1,0,0,3
Royal Challengers Bangalore,MV Boucher,CL White,7,9,4,6,3,14,15
Royal Challengers Bangalore,B Akhil,CL White,0,2,0,1,0,0,3
Royal Challengers Bangalore,AA Noffke,CL White,1,2,2,2,2,5,4
Royal Challengers Bangalore,AA Noffke,P Kumar,8,7,4,5,2,14,12
Royal Challengers Bangalore,Z Khan,P Kumar,3,8,8,4,2,13,12
Royal Challengers Bangalore,SB Joshi,P Kumar,3,6,6,6,3,12,12
