Over,Ball,Phase,Batsman,Bowler,Runs,Bowlers
11,1,Middle Overs,AD Russell,SR Watson,1,SR Watson
11,3,Middle Overs,AD Russell,SR Watson,4,Imran Tahir
11,4,Middle Overs,AD Russell,SR Watson,1,DJ Bravo
11,6,Middle Overs,AD Russell,SR Watson,1,SN Thakur
12,1,Middle Overs,AD Russell,Imran Tahir,0,
12,2,Middle Overs,AD Russell,Imran Tahir,0,
12,3,Middle Overs,AD Russell,Imran Tahir,2,
12,4,Middle Overs,AD Russell,Imran Tahir,0,
12,6,Middle Overs,AD Russell,Imran Tahir,0,
13,2,Middle Overs,AD Russell,DJ Bravo,0,
13,3,Middle Overs,AD Russell,DJ Bravo,1,
13,5,Middle Overs,AD Russell,DJ Bravo,6,
13,6,Middle Overs,AD Russell,DJ Bravo,1,
14,1,Middle Overs,AD Russell,Imran Tahir,1,
14,3,Middle Overs,AD Russell,Imran Tahir,1,
14,6,Middle Overs,AD Russell,Imran Tahir,1,
15,1,Death,AD Russell,SN Thakur,1,
15,3,Death,AD Russell,SN Thakur,6,
15,4,Death,AD Russell,SN Thakur,6,
15,5,Death,AD Russell,SN Thakur,1,
16,1,Death,AD Russell,DJ Bravo,0,
16,2,Death,AD Russell,DJ Bravo,6,
16,3,Death,AD Russell,DJ Bravo,0,
16,4,Death,AD Russell,DJ Bravo,6,
16,5,Death,AD Russell,DJ Bravo,1,
17,1,Death,AD Russell,SR Watson,6,
17,2,Death,AD Russell,SR Watson,1,
17,7,Death,AD Russell,SR Watson,1,
18,1,Death,AD Russell,DJ Bravo,6,
18,2,Death,AD Russell,DJ Bravo,6,
18,3,Death,AD Russell,DJ Bravo,6,
18,4,Death,AD Russell,DJ Bravo,1,
18,6,Death,AD Russell,DJ Bravo,1,
19,1,Death,AD Russell,SN Thakur,6,
19,2,Death,AD Russell,SN Thakur,1,
19,6,Death,AD Russell,SN Thakur,6,
