Over,Ball,Phase,Batsman,Bowler,Runs,Bowlers
0,1,Powerplay,CH Gayle,B Kumar,0,B Kumar
0,2,Powerplay,CH Gayle,B Kumar,0,IC Pandey
0,3,Powerplay,CH Gayle,B Kumar,1,AB Dinda
1,1,Powerplay,CH Gayle,IC Pandey,4,MR Marsh
1,2,Powerplay,CH Gayle,IC Pandey,4,AG Murtaza
1,3,Powerplay,CH Gayle,IC Pandey,0,AJ Finch
1,4,Powerplay,CH Gayle,IC Pandey,4,LJ Wright
1,5,Powerplay,CH Gayle,IC Pandey,4,
1,6,Powerplay,CH Gayle,IC Pandey,0,
1,7,Powerplay,CH Gayle,IC Pandey,4,
3,1,Powerplay,CH Gayle,AB Dinda,1,
4,1,Powerplay,CH Gayle,MR Marsh,6,
4,2,Powerplay,CH Gayle,MR Marsh,6,
4,3,Powerplay,CH Gayle,MR Marsh,4,
4,4,Powerplay,CH Gayle,MR Marsh,0,
4,5,Powerplay,CH Gayle,MR Marsh,6,
4,6,Powerplay,CH Gayle,MR Marsh,6,
6,1,Middle Overs,CH Gayle,AG Murtaza,4,
6,2,Middle Overs,CH Gayle,AG Murtaza,6,
6,3,Middle Overs,CH Gayle,AG Murtaza,1,
6,5,Middle Overs,CH Gayle,AG Murtaza,6,
6,6,Middle Overs,CH Gayle,AG Murtaza,0,
7,2,Middle Overs,CH Gayle,AJ Finch,6,
7,3,Middle Overs,CH Gayle,AJ Finch,6,
7,4,Middle Overs,CH Gayle,AJ Finch,4,
7,5,Middle Overs,CH Gayle,AJ Finch,6,
7,6,Middle Overs,CH Gayle,AJ Finch,6,
8,3,Middle Overs,CH Gayle,AB Dinda,0,
8,4,Middle Overs,CH Gayle,AB Dinda,1,
8,6,Middle Overs,CH Gayle,AB Dinda,6,
8,7,Middle Overs,CH Gayle,AB Dinda,1,
9,1,Middle Overs,CH Gayle,LJ Wright,0,
9,2,Middle Overs,CH Gayle,LJ Wright,1,
9,4,Middle Overs,CH Gayle,LJ Wright,1,
9,6,Middle Overs,CH Gayle,LJ Wright,0,
10,3,Middle Overs,CH Gayle,IC Pandey,1,
10,5,Middle Overs,CH Gayle,IC Pandey,1,
11,1,Middle Overs,CH Gayle,LJ Wright,0,
11,2,Middle Overs,CH Gayle,LJ Wright,0,
11,3,Middle Overs,CH Gayle,LJ Wright,6,
11,4,Middle Overs,CH Gayle,LJ Wright,1,
11,6,Middle Overs,CH Gayle,LJ Wright,0,
12,1,Middle Overs,CH Gayle,MR Marsh,1,
12,3,Middle Overs,CH Gayle,MR Marsh,0,
12,4,Middle Overs,CH Gayle,MR Marsh,1,
12,6,Middle Overs,CH Gayle,MR Marsh,6,
13,2,Middle Overs,CH Gayle,LJ Wright,4,
13,3,Middle Overs,CH Gayle,LJ Wright,1,
14,2,Middle Overs,CH Gayle,AG Murtaza,4,
14,3,Middle Overs,CH Gayle,AG Murtaza,6,
14,4,Middle Overs,CH Gayle,AG Murtaza,6,
14,5,Middle Overs,CH Gayle,AG Murtaza,4,
14,6,Middle Overs,CH Gayle,AG Murtaza,6,
15,2,Death,CH Gayle,LJ Wright,1,
15,5,Death,CH Gayle,LJ Wright,1,
16,3,Death,CH Gayle,AB Dinda,0,
16,4,Death,CH Gayle,AB Dinda,1,
17,1,Death,CH Gayle,B Kumar,4,
17,2,Death,CH Gayle,B Kumar,1,
17,5,Death,CH Gayle,B Kumar,4,
17,6,Death,CH Gayle,B Kumar,1,
18,1,Death,CH Gayle,MR Marsh,1,
18,6,Death,CH Gayle,MR Marsh,0,
19,1,Death,CH Gayle,AB Dinda,6,
19,2,Death,CH Gayle,AB Dinda,1,
19,5,Death,CH Gayle,AB Dinda,1,
