Over,Ball,Phase,Batsman,Bowler,Runs,Bowlers
5,3,Powerplay,KD Karthik,JC Archer,0,JC Archer
5,4,Powerplay,KD Karthik,JC Archer,0,S Gopal
5,5,Powerplay,KD Karthik,JC Archer,0,R Parag
5,6,Powerplay,KD Karthik,JC Archer,0,JD Unadkat
6,4,Middle Overs,KD Karthik,S Gopal,0,
7,3,Middle Overs,KD Karthik,R Parag,0,
7,4,Middle Overs,KD Karthik,R Parag,1,
9,1,Middle Overs,KD Karthik,JD Unadkat,1,
9,3,Middle Overs,KD Karthik,JD Unadkat,0,
9,4,Middle Overs,KD Karthik,JD Unadkat,1,
10,1,Middle Overs,KD Karthik,S Gopal,6,
10,2,Middle Overs,KD Karthik,S Gopal,4,
10,3,Middle Overs,KD Karthik,S Gopal,4,
10,4,Middle Overs,KD Karthik,S Gopal,4,
10,5,Middle Overs,KD Karthik,S Gopal,1,
11,1,Middle Overs,KD Karthik,JC Archer,6,
11,2,Middle Overs,KD Karthik,JC Archer,0,
11,3,Middle Overs,KD Karthik,JC Archer,0,
11,4,Middle Overs,KD Karthik,JC Archer,0,
11,5,Middle Overs,KD Karthik,JC Archer,0,
11,6,Middle Overs,KD Karthik,JC Archer,1,
12,1,Middle Overs,KD Karthik,O Thomas,1,
12,3,Middle Overs,KD Karthik,O Thomas,0,
12,6,Middle Overs,KD Karthik,O Thomas,1,
13,1,Middle Overs,KD Karthik,VR Aaron,0,
13,2,Middle Overs,KD Karthik,VR Aaron,6,
13,3,Middle Overs,KD Karthik,VR Aaron,0,
13,4,Middle Overs,KD Karthik,VR Aaron,0,
13,5,Middle Overs,KD Karthik,VR Aaron,0,
13,6,Middle Overs,KD Karthik,VR Aaron,4,
14,3,Middle Overs,KD Karthik,JC Archer,0,
14,4,Middle Overs,KD Karthik,JC Archer,1,
15,4,Death,KD Karthik,JD Unadkat,6,
15,5,Death,KD Karthik,JD Unadkat,1,
16,2,Death,KD Karthik,O Thomas,1,
16,4,Death,KD Karthik,O Thomas,1,
16,6,Death,KD Karthik,O Thomas,6,
17,3,Death,KD Karthik,JD Unadkat,4,
17,4,Death,KD Karthik,JD Unadkat,0,
17,5,Death,KD Karthik,JD Unadkat,4,
17,6,Death,KD Karthik,JD Unadkat,1,
18,1,Death,KD Karthik,JC Archer,1,
18,3,Death,KD Karthik,JC Archer,1,
18,5,Death,KD Karthik,JC Archer,6,
18,6,Death,KD Karthik,JC Archer,6,
19,2,Death,KD Karthik,JD Unadkat,4,
19,3,Death,KD Karthik,JD Unadkat,6,
19,4,Death,KD Karthik,JD Unadkat,0,
19,5,Death,KD Karthik,JD Unadkat,6,
19,6,Death,KD Karthik,JD Unadkat,1,
